idx,adaboost:algorithm,adaboost:base_estimator,adaboost:learning_rate,adaboost:n_estimators,classifier,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:metric,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,liblinear:C,liblinear:class_weight,liblinear:dual,liblinear:fit_intercept,liblinear:intercept_scaling,liblinear:loss,liblinear:multi_class,liblinear:penalty,liblinear:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,pca:keep_variance,pca:whiten,preprocessor,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,select_percentile_classification:percentile,select_percentile_classification:score_func,sgd:alpha,sgd:class_weight,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,sparse_filtering:N,sparse_filtering:maxiter,truncatedSVD:target_dim
2216,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,325.7408919054358,auto,,,0.03307046849620023,rbf,-1,False,0.00028197801446441675,,,0.9914577659264465,False,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2217,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,34.267300813773,None,False,True,1,l2,ovr,l2,1.388238865571819e-05,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,1538,130,
2218,,,,,gradient_boosting,,,,,,,,0.3121531028156717,9,4.374918516055619,19,13,100,0.840389650139617,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2219,SAMME.R,None,0.9008911979583867,48,adaboost,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5266516269399883,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2220,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,89,1,uniform,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.20602495199428,f_classif,,,,,,,,,,,,,,
2221,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,median,auto,30,minkowski,34,5,uniform,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,9,None,1,8,87,min/max,,,,,,,,,,,,,,,,
2222,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,standard,,,3.658369813989869e-07,auto,,0.011368057350353658,True,,optimal,log,357,l2,,1876,108,
2223,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,7.344104412172961e-06,auto,,0.08439914069013248,True,,optimal,log,264,l1,,,,
2224,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,80.95179085016849,auto,,,0.3390723214931024,rbf,-1,False,8.664991286329486e-05,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2225,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,84.69825336367646,f_classif,,,,,,,,,,,,,,
2226,,,,,libsvm_svc,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,5576.197530778929,None,-0.08928758191263264,2,0.018883410603810703,poly,-1,False,0.03811330820591135,,,,,random_trees_embedding,,,,,,,,,4,None,14,17,100,min/max,,,,,,,,,,,,,,,,
2227,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,8.576577627115753,auto,False,True,1,l2,ovr,l2,1.232182879669589e-05,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,88.97062872492984,f_classif,,,,,,,,,,,,,,
2228,,,,,multinomial_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2240225066233787,False,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2229,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,1738,462,
2230,,,,,random_forest,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,False,gini,None,3.914895315094588,None,1,3,100,,,,,,standard,,,,,,,,,,,,,,,,
2231,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999202432918496,True,pca,,,,,,,,,,,,,,standard,,,3.370947336871946e-07,auto,,0.005040062380071002,True,,constant,log,731,l1,,,,
2232,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,2.783587845625309,auto,False,True,1,l2,ovr,l2,0.0717085178474731,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2233,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,9,None,15,14,99,standard,,,1.1944491738045566e-05,auto,0.06116494155989553,0.001727334629088626,True,,constant,modified_huber,68,l1,,,,
2234,,,,,multinomial_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3455243587207177,False,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.81899801129659,chi2,,,,,,,,,,,,,,
2235,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9855518500320317,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2236,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,1.9085312912895371,9017,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,4.983886963538412e-05,auto,,0.0107376478694149,True,,constant,hinge,303,l2,,,,
2237,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,0.3431601212366642,8717,953.1182086327555,auto,False,True,1,l2,ovr,l2,1.1413151388699752e-05,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2238,SAMME.R,None,0.7104939775898104,50,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.97855800605298,f_classif,,,,,,,,,,,,,,
2239,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,median,auto,30,minkowski,83,1,uniform,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,236
2240,,,,,gradient_boosting,,,,,,,,0.34268093830796387,10,4.998145954576287,20,11,100,0.9475065861369701,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,161
2241,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,,,,min/max,,,1.4812797176817538e-05,auto,,0.05593398150894993,True,,optimal,hinge,661,l1,,,,137
2242,,,,,random_forest,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,False,entropy,None,2.9287787703613772,None,1,5,100,,,,,,min/max,,,,,,,,,,,,,,,,
2243,SAMME.R,None,0.981571180053369,50,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2244,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.83550678704,chi2,5.394255500649329e-07,auto,,0.07382257891560509,True,0.6020236652038895,invscaling,hinge,880,elasticnet,0.1673447076733501,,,
2245,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,38
2246,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2247,,,,,extra_trees,False,entropy,None,1.0384184901295277,1,5,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,56
2248,SAMME.R,None,0.8351745089657188,50,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,12
2249,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2250,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,50.0,chi2,,,,,,,,,,,,,,
2251,,,,,random_forest,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,False,entropy,None,2.6292683110577157,None,2,2,100,,,,,,min/max,,,,,,,,,,,,,,,,65
2252,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,0.03742092137599424,auto,False,True,1,l2,ovr,l2,1.2401803591977678e-05,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,176
2253,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,5.229107204607622e-05,auto,0.00012614154327752556,0.03991981530710605,True,,invscaling,modified_huber,308,l1,0.5295863321177929,,,
2254,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,0.032200905310974574,auto,False,True,1,l2,ovr,l2,0.08995578585199938,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.80970867062148,chi2,,,,,,,,,,,,,,
2255,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023400824991384954,False,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2256,,,,,gradient_boosting,,,,,,,,0.28891931094916573,10,4.9288048806169495,4,20,100,0.950935997707269,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2257,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,0.03294630414400671,auto,False,True,1,l2,ovr,l2,8.595678169562608e-05,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2258,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013274508328762157,False,,,select_percentile_classification,,,,,,,,,,,,,,min/max,75.56200585053014,chi2,,,,,,,,,,,,,,
2259,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,1.6984079146125344,697,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,4.217140703446553e-06,auto,0.027520664003504714,0.03393866959278327,True,0.16009333498691447,optimal,modified_huber,596,elasticnet,,,,
2260,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,1.7078355260569915,527,48.04694947838584,auto,False,True,1,l2,ovr,l2,0.0016315096535222727,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2261,,,,,extra_trees,False,entropy,None,4.756057435286826,1,4,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2262,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,44.45018913558951,None,False,True,1,l2,ovr,l2,0.00029696576336072907,,,,,,,,,,,,0.968365665612704,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2263,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,74.20718090905413,auto,,,0.0266634003573929,rbf,-1,True,0.0015599353488915159,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,81.83067694422148,f_classif,,,,,,,,,,,,,,
2264,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2265,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,0.09495806819735095,None,False,True,1,l2,ovr,l2,0.028641458432836074,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,9,None,16,5,65,standard,,,,,,,,,,,,,,,,
2266,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,82.1136243553928,chi2,9.242470449657158e-07,auto,,0.018092668348631658,True,,constant,hinge,883,l1,,,,
2267,,,,,extra_trees,True,entropy,None,2.9874151892924954,1,6,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,77.19603918767768,chi2,,,,,,,,,,,,,,
2268,SAMME.R,None,0.6120571512675441,49,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2269,,,,,gradient_boosting,,,,,,,,0.10700990836425392,4,4.533360431810896,18,14,100,0.7407721751674345,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,87.39693858406223,chi2,,,,,,,,,,,,,,
2270,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,0.9287857408304152,50,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2271,,,,,random_forest,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,True,entropy,None,1.1553392191612673,None,2,20,100,,,,,,min/max,81.15377299248402,chi2,,,,,,,,,,,,,,
2272,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,72,2,uniform,,,,,,,,,,,,,,,,,,,,,,,0.9696136731773987,True,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2273,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2274,,,,,extra_trees,False,entropy,None,4.174040317684598,4,3,100,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2275,,,,,multinomial_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031454294224409415,False,,,random_trees_embedding,,,,,,,,,10,None,1,16,53,min/max,,,,,,,,,,,,,,,,
2276,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,1.0,None,,,0.0999999999999999,rbf,-1,True,0.0001,,,1.0,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2277,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,0.0686780973150609,auto,False,True,1,l2,ovr,l2,0.001725216693448571,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,414,359,
2278,,,,,gradient_boosting,,,,,,,,0.04516129254153611,10,3.6804258450825533,20,5,100,0.7418542169640678,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2279,SAMME.R,None,0.4228785772626297,32,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5553696224804858,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2280,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,80,5,distance,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,82.79640048062687,chi2,,,,,,,,,,,,,,
2281,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,57,5,distance,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,4,None,17,2,98,min/max,,,,,,,,,,,,,,,,
2282,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,0.00353834706291628,None,0.0081072563862538,0.048448732983209376,True,,constant,modified_huber,539,l1,,1732,237,
2283,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,7.707930821793655e-05,None,,0.07729539214853237,True,,invscaling,hinge,937,l1,0.22367841524117762,,,
2284,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,4.596477301830777,None,,,0.04326216081996423,rbf,-1,False,1.8066260919243022e-05,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2285,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,23.86082754037334,f_classif,,,,,,,,,,,,,,
2286,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,325.2084019463391,auto,0.13498446457129387,,0.0004546508900100724,sigmoid,-1,False,0.042369501515382275,,,,,random_trees_embedding,,,,,,,,,8,None,17,20,100,min/max,,,,,,,,,,,,,,,,
2287,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,54.80093408564284,auto,False,True,1,l2,ovr,l2,1.3658923236653777e-05,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,79.17245572138268,f_classif,,,,,,,,,,,,,,
2288,,,,,multinomial_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,4.110772814682456,False,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2289,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,359,71,
2290,,,,,random_forest,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,False,gini,None,1.1067185362346335,None,3,13,100,,,,,,min/max,,,,,,,,,,,,,,,,
2291,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8841192608896209,False,pca,,,,,,,,,,,,,,min/max,,,0.007145602261884547,None,0.05540550302894617,0.0065001527600068,True,0.006410121369973432,optimal,modified_huber,121,elasticnet,,,,
2292,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,15.721191887068365,auto,False,True,1,l2,ovr,l2,0.00015381643978775662,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2293,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,9,None,13,5,96,min/max,,,0.0009535084817839964,auto,,0.017142832327504545,True,,invscaling,log,483,l2,0.15809581595161368,,,
2294,,,,,multinomial_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,28.688482415205065,False,,,select_percentile_classification,,,,,,,,,,,,,,min/max,45.56367295757907,chi2,,,,,,,,,,,,,,
2295,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8966678809208656,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2296,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,0.8389668168367159,1590,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,standard,,,0.0011248231376618767,None,9.405326003552863e-05,0.010926175394924909,True,,optimal,modified_huber,158,l2,,,,
2297,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,1.3133803366378274,208,144.03094669837589,auto,False,True,1,l2,ovr,l2,0.04911778570380064,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2298,SAMME.R,None,0.4657780598646551,44,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,82.14460225682113,f_classif,,,,,,,,,,,,,,
2299,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,25.689630038714927,None,False,True,1,l2,ovr,l2,0.02629159332464424,,,,,,,,,,,,0.9194062802264201,False,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2300,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,3878.3152597136605,auto,0.05111744289648734,1,0.004884519192446553,poly,-1,False,0.0002478246297854855,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,41.14687182140405,f_classif,,,,,,,,,,,,,,
2301,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2302,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,0.3085509788566423,None,False,True,1,l2,ovr,l2,0.0019229313027496326,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,4,None,1,10,91,min/max,,,,,,,,,,,,,,,,
2303,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,10.26287316399638,f_classif,0.0004017643649651913,None,,0.09270281642286109,True,,optimal,hinge,981,l1,,,,
2304,,,,,extra_trees,False,entropy,None,1.913516911025277,1,20,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,62.32020233592654,f_classif,,,,,,,,,,,,,,
2305,SAMME.R,None,0.1,10,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2306,,,,,gradient_boosting,,,,,,,,0.48507097480645717,10,3.8775734109848248,18,9,100,0.6012214596754175,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,80.64491641538751,f_classif,,,,,,,,,,,,,,
2307,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,1.9290466644099955,402,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2308,,,,,random_forest,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,False,gini,None,4.421255073815701,None,1,3,100,,,,,,standard,84.63607772112555,f_classif,,,,,,,,,,,,,,
2309,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,38,5,uniform,,,,,,,,,,,,,,,,,,,,,,,0.8834564918442789,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2310,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,80,1,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2311,,,,,extra_trees,False,gini,None,3.676909537296367,1,2,100,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2312,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01331174871390095,True,,,random_trees_embedding,,,,,,,,,10,None,1,2,67,min/max,,,,,,,,,,,,,,,,
2313,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,8157.6936108624195,None,,,0.06503236905529539,rbf,-1,True,0.0001772123301962057,,,0.7477311757776961,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2314,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,11090.913059457169,auto,False,True,1,l2,ovr,l2,1.022430734193848e-05,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,1925,300,
2315,,,,,gradient_boosting,,,,,,,,0.39783989476176507,4,4.8661898868458735,2,2,100,0.6577149217906979,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2316,SAMME.R,None,0.8884061668363233,36,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9639149454292322,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
2317,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,50.0,chi2,,,,,,,,,,,,,,
